folder,generator
0001_alice_in_wonderland,sensory-immersion-generator
0002_animal_farm,socio-political-commentary-generator
0003_anna_karenina,emotional-journey-generator
0004_brave_new_world,socio-political-commentary-generator
0005_chlopi,atmospheric-moments-generator
0006_don_quixote,character-perspective-generator
0007_dune,world-building-focus-generator
0008_emma,dialogue-showdown-generator
0009_fahrenheit_451,socio-political-commentary-generator
0010_great_gatsby,atmospheric-moments-generator
0011_gullivers_travels,narrative-prompt-generator
0012_harry_potter,emotional-journey-generator
0013_hobbit,cinematic-composition-generator
0014_jane_eyre,emotional-journey-generator
0015_lady_of_the_camellias,emotional-journey-generator
0016_lalka,character-perspective-generator
0017_little_prince,symbolic-moments-generator
0018_lord_of_the_rings,world-building-focus-generator
0019_master_and_margarita,evil-perspective-generator
0020_narnia,world-building-focus-generator
0021_nineteen_eighty_four,socio-political-commentary-generator
0022_of_mice_and_men,emotional-journey-generator
0023_one_hundred_years_of_solitude,temporal-shift-generator
0024_pan_tadeusz,cinematic-composition-generator
0025_pride_and_prejudice,dialogue-showdown-generator
0026_quo_vadis,cinematic-composition-generator
0027_robinson_crusoe,narrative-prompt-generator
0028_romeo_and_juliet,emotional-journey-generator
0029_schulza_sklepy_cynamonowe,atmospheric-moments-generator
0030_solaris,sensory-immersion-generator
0031_the_call_of_cthulhu,descent-into-madness-generator
0032_the_catcher_in_the_rye,emotional-journey-generator
0033_the_count_of_monte_cristo,emotional-journey-generator
0034_the_da_vinci_code,narrative-prompt-generator
0035_the_exorcist,evil-perspective-generator
0036_the_godfather,character-perspective-generator
0037_the_kama_sutra,sensory-immersion-generator
0038_the_old_man_and_the_sea,symbolic-moments-generator
0039_the_picture_of_dorian_gray,evil-perspective-generator
0040_the_plague,symbolic-moments-generator
0041_the_shining,descent-into-madness-generator
0042_the_three_musketeers,cinematic-composition-generator
0043_to_kill_a_mockingbird,emotional-journey-generator
0044_treasure_island,cinematic-composition-generator
0045_ulysses,character-perspective-generator
0046_wuthering_heights,atmospheric-moments-generator
0047_the_iliad,cinematic-composition-generator
0048_the_odyssey,emotional-journey-generator
0049_the_aeneid,cinematic-composition-generator
0050_the_divine_comedy,emotional-journey-generator
0051_the_canterbury_tales,character-perspective-generator
0052_le_morte_darthur,symbolic-moments-generator
0053_the_decameron,character-perspective-generator
0054_the_prince,evil-perspective-generator
0055_gargantua_and_pantagruel,sensory-immersion-generator
0056_essays,narrative-prompt-generator
0057_paradise_lost,evil-perspective-generator
0058_the_pilgrims_progress,emotional-journey-generator
0059_candide,narrative-prompt-generator
0060_the_social_contract,socio-political-commentary-generator
0061_faust,evil-perspective-generator
0062_frankenstein,emotional-journey-generator
0063_moby_dick,sensory-immersion-generator
0064_madame_bovary,emotional-journey-generator
0065_les_misérables,emotional-journey-generator
0066_crime_and_punishment,descent-into-madness-generator
0067_war_and_peace,temporal-shift-generator
0068_the_brothers_karamazov,character-perspective-generator
0069_a_dolls_house,dialogue-showdown-generator
0070_the_adventures_of_sherlock_holmes,narrative-prompt-generator
0071_dracula,epistolary-fragments-generator
0072_the_jungle_book,atmospheric-moments-generator
0073_heart_of_darkness,descent-into-madness-generator
0074_the_call_of_the_wild,sensory-immersion-generator
0075_the_metamorphosis,descent-into-madness-generator
0076_dubliners,atmospheric-moments-generator
0077_a_portrait_of_the_artist_as_a_young_man,emotional-journey-generator
0078_the_age_of_innocence,character-perspective-generator
0079_the_great_gatsby,atmospheric-moments-generator
0080_the_sun_also_rises,atmospheric-moments-generator
0081_as_i_lay_dying,character-perspective-generator
0082_gone_with_the_wind,temporal-shift-generator
0083_the_grapes_of_wrath,socio-political-commentary-generator
0084_for_whom_the_bell_tolls,cinematic-composition-generator
0085_the_little_prince,symbolic-moments-generator
0086_no_exit,dialogue-showdown-generator
0087_the_second_sex,symbolic-moments-generator
0088_the_old_man_and_the_sea,symbolic-moments-generator
0089_lolita,evil-perspective-generator
0090_on_the_road,atmospheric-moments-generator
0091_doctor_zhivago,temporal-shift-generator
0092_things_fall_apart,character-perspective-generator
0093_the_tin_drum,character-perspective-generator
0094_catch-22,narrative-prompt-generator
0095_a_clockwork_orange,sensory-immersion-generator
0096_one_flew_over_the_cuckoos_nest,character-perspective-generator
0097_the_bell_jar,descent-into-madness-generator
0098_slaughterhouse-five,temporal-shift-generator
0099_do_androids_dream_of_electric_sheep,symbolic-moments-generator
0100_i_know_why_the_caged_bird_sings,emotional-journey-generator
0101_the_color_purple,emotional-journey-generator
0102_beloved,temporal-shift-generator
0103_the_handmaids_tale,socio-political-commentary-generator
0104_the_alchemist,emotional-journey-generator
0105_life_of_pi,symbolic-moments-generator
0106_the_kite_runner,emotional-journey-generator
0107_the_road,atmospheric-moments-generator
0108_the_book_thief,character-perspective-generator
0109_the_hunger_games,cinematic-composition-generator
0110_gone_girl,temporal-shift-generator
0111_the_martian,narrative-prompt-generator
0112_the_girl_on_the_train,character-perspective-generator
0113_the_republic,symbolic-moments-generator
0114_the_prince,evil-perspective-generator
0115_leviathan,symbolic-moments-generator
0116_discourse_on_method,narrative-prompt-generator
0117_the_wealth_of_nations,socio-political-commentary-generator
0118_the_trial,descent-into-madness-generator
0119_the_art_of_war,symbolic-moments-generator
0120_the_tao_te_ching,symbolic-moments-generator
0121_the_analects,narrative-prompt-generator
0122_the_upanishads,symbolic-moments-generator
0123_the_bhagavad_gita,emotional-journey-generator
0124_the_quran,symbolic-moments-generator
0125_the_communist_manifesto,socio-political-commentary-generator
0126_das_kapital,socio-political-commentary-generator
0127_on_liberty,narrative-prompt-generator
0128_thus_spoke_zarathustra,symbolic-moments-generator
0129_the_second_sex,symbolic-moments-generator
